,Unnamed: 0,Review id,Product Name,Product id,Action,Agent,Environment,Feature,Review Body,Rating,Valence,Annotation Description,Annotation Label,Annotation,Annotation Date,review sentences,Sentences Actions,Action Flag
5,5,1000,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,"This laptop is amazing, the 4k display is bright and sharp and for gaming I use it mainly for VR Quest 2 and  Call of Duty so no need for high refresh rates, the 60HZ works great. Runs quiet, and even on turbo mode it""s not that bad to the point where it sounds loud or gets hot.  If you game with a headphone and mic it""ll be a complete no-issue also. This laptop is everything you need (and then some)! The graphics are beautiful and it is very user friendly. I can run all of my favorite games and more on this! I highly recommend this laptop to ANY gamer as it is amazing.",5,positive,The customer uses the device to game on it because of its great screen resolution and graphics.,I can run all of my favorite games and more on this,http://linked.aub.edu.lb/actionrec/Annotation/10efe30e723e3bd8c149dfbc84a4d336,2021-06-29T14:00:13,I can run all of my favorite games and more on this!,PlayAction,Action Exist
13,13,1002,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,"This laptop is amazing, the 4k display is bright and sharp and for gaming I use it mainly for Final Fantasy XI so no need for high refresh rates, the 60HZ works great.  Runs quiet, and even on turbo mode it""s not that bad to the point where it sounds like a Jet engine.  If you game with a headphone and mic it""ll be a complete no-issue also.  The only thing that Asus could""ve done better is put a Ryzen 9 4800hs on this as it would""ve improved battery life and workloads as it""s 8 core while this is the i7-10th gen with 6 cores for mult-threaded apps and would""ve probably brought the price down a bit as well.  Battery life I get about 2.5-3 hours of gaming unplugged and 6-7 hours on light workloads not bad but not industry leading.  The case is nice and clean, love the prism look to the cover, and the interior is soft and tactile and does a good job to prevent fingerprint smudges.  It""s also light and portable.No webcam or biometrics by the way if that""s a dealbreaker for you.",5,positive,The customer uses the device to game on it because of the screen resolution.,I use it mainly for Final Fantasy XI,http://linked.aub.edu.lb/actionrec/Annotation/86793db3be418ffa0e152032376f1622,2021-07-01T10:09:53,"This laptop is amazing, the 4k display is bright and sharp and for gaming I use it mainly for Final Fantasy XI so no need for high refresh rates, the 60HZ works great.",PlayAction,Action Exist
22,22,1003,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,TeachAction,Teacher,School,GraphicsCard,"Bought this gaming laptop to play the new Microsoft Flight Simulator 2020!!  It has everything you need to fly and the graphics are outstanding.  I have it in my classroom and looks great... can""t wait for remote learning to be over to show the Middle School Students in my Flight & Space class.",4,positive,The customer uses the device to teach ,I have it in my classroom and looks great,http://linked.aub.edu.lb/actionrec/Annotation/a459ae782fadfc0451782bf959ef2bce,2021-07-01T10:12:13,"I have it in my classroom and looks great... can""t wait for remote learning to be over to show the Middle School Students in my Flight & Space class.",TeachAction,Action Exist
33,33,1005,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,RunAction,Person,Universal,Performance,I bought this laptop to run drafting software and so far it has performed flawlessly. Only con I have found is no built in webcam. I would definitely recommend this laptop for anybody.,5,positive,The customer enjoys running a drafting software on this laptop.,I bought this laptop to run drafting software and so far it has performed flawlessly.,http://linked.aub.edu.lb/actionrec/Annotation/0a37dc8d9219d7cc320a2617843b7e3c,2021-07-01T10:45:46,I bought this laptop to run drafting software and so far it has performed flawlessly.,RunAction,Action Exist
37,37,1006,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,FPS,"I bought one first for my wife, but I was so impressed I got one for myself. It runs so fast and all the games I""ve been playing have gotten 60+ frames easy on high settings. It""s nice and portable, has a lot of customization for internal settings and aesthetic features. Definitely would recommend if you""re looking for a laptop in this range.",5,positive,The user enjoys gaming on this device because of its FPS,"It runs so fast and all the games I""ve been playing have gotten 60+ frames easy on high settings.",http://linked.aub.edu.lb/actionrec/Annotation/a6f33ff086c5dfdc7e43bbdd8da3b5c7,2021-07-04T16:40:34,"It runs so fast and all the games I""ve been playing have gotten 60+ frames easy on high settings.",PlayAction,Action Exist
42,42,1007,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,WatchAction,Person,Universal,ScreenQuality,"I""m running 2 external monitors with it, trading stocks- so lot""s of real time charts. I can also visit other websites at the same time as well.It""s very fast. Under 3 minutes to do a full scan.Watching movies online gives a very clear picture.I was surprised to see my ""Favorites List"" was transferred over to the new computer without me having top do anything.I am very happy with this laptop.",5,positive,the user uses the device to watch movies.,Watching movies online gives a very clear picture.,http://linked.aub.edu.lb/actionrec/Annotation/f490d1989c715e819f8d786b63b7dec1,2021-07-04T16:48:51,"Under 3 minutes to do a full scan.Watching movies online gives a very clear picture.I was surprised to see my ""Favorites List"" was transferred over to the new computer without me having top do anything.I am very happy with this laptop.",WatchAction,Action Exist
44,44,1008,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ProcessingPower,"Exactly what I wanted. Handles any game I throw at it like a champ. To be fair though, I really only play apex, counter strike, destiny on it, so I couldn^t tell you how it would hold up to higher end games but thus far it^s great. My girlfriend also uses it with her cintique (not sure if spelling right, it^s a drawing pad). The 4K screen at 100% rgb really is a plus for her. The screen in non traditional for a gaming laptop but it^s honestly fantastic.",5,positive,The user enjoys gaming on this device,Handles any game I throw at it like a champ.,http://linked.aub.edu.lb/actionrec/Annotation/9d7476230026dec6f1c78a114f91b241,2021-07-04T17:15:15,Handles any game I throw at it like a champ.,PlayAction,Action Exist
50,50,1009,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,DevelopAction,Person,Universal,GPU,"I was reluctant to buy this computer because ASUS isn""t the most highly recognized laptop maker. I wanted a powerful laptop with a GPU on which I could do some artificial intelligence and machine learning work. This laptop is exactly what I wanted. I""m very happy with my purchase. It works so well I wonder whether if I could live without my primary computer, my MacBook Pro. I""m very happy with the purchase. My biggest disappointments are the lack of camera and not having a touchscreen. I knew they were missing when I purchased it, though, so no crying over spilled milk.",5,positive,The user uses the device to work on artificial inteligence,I wanted a powerful laptop with a GPU on which I could do some artificial intelligence and machine learning work.,http://linked.aub.edu.lb/actionrec/Annotation/5b1cadbd2dde759765aba1ccef893725,2021-07-04T17:18:01,I wanted a powerful laptop with a GPU on which I could do some artificial intelligence and machine learning work.,DevelopAction,Action Exist
64,64,1010,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Gamer,Universal,GraphicsCard,This laptop was a 5 star for the first 10 days.   We bought it on 1/14/21 then the screen stopped working 1/24/21.  It was definitely the screen as we hooked it up to a remote monitor and everything appeared as it should.    We took it back to Best Buy since we were still in the correct timeframe for a return.  Best Buy was excellent as usual and provided an exchange.  We came home with the same model laptop and have not had any problems with new one.  We definitely bought the extended warranty this time though.    The graphics are excellent and it runs relatively fast enough for our gaming teenager.  It does run hot so we purchased a laptop stand with built in fans to keep down the heat.,4,positive,The user enjoys gaming on this device because of its graphics.,it runs relatively fast enough for our gaming teenager.,http://linked.aub.edu.lb/actionrec/Annotation/05e3f7bf4aa9465d57338ad95ef39230,2021-07-12T07:13:52,The graphics are excellent and it runs relatively fast enough for our gaming teenager.,PlayAction,Action Exist
66,66,1011,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Employee,Universal,ProcessingPower,"Its a strong little computer, it has enough power for me to use it for both gaming and work(a lot of 3d modeling and rendering).",5,positive,The user uses the device for gaming.,it has enough power for me to use it for both gaming ,http://linked.aub.edu.lb/actionrec/Annotation/ef01b1753a1d472b67159cd829c519ad,2021-07-27T16:48:54,"Its a strong little computer, it has enough power for me to use it for both gaming and work(a lot of 3d modeling and rendering).",PlayAction,Action Exist
68,68,1012,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,EditAction,Person,Universal,ScreenQuality,Great balance of power and subtle flash. Will use mostly for photo editing and a little gaming. Bright display and good weight for performance.,4,positive,the customer uses the device for editing pictures.,Will use mostly for photo editing,http://linked.aub.edu.lb/actionrec/Annotation/0a75c9e6c3a04c490af7c2b3bdd35229,2021-08-10T11:52:18,Will use mostly for photo editing and a little gaming.,EditAction,Action Exist
74,74,1014,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenResolution,This is an amazing device it is able to play various games in 4K ultra this Laptop has given me an experience I thought I would never have.,5,positive,The user is very happy with the screen resolution to be able to play games that provide a great experience,amazing device it is able to play various games in 4K ultra this Laptop has given me an experience I thought I would never have,http://linked.aub.edu.lb/actionrec/Annotation/cd037e2f1b804bb99ebf8174bf023b67,2021-10-15T05:25:39,This is an amazing device it is able to play various games in 4K ultra this Laptop has given me an experience I thought I would never have.,PlayAction,Action Exist
80,80,1015,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,CarryAction,Person,Travel,Lightweight,Great PC!!! Very light weight 1TB SSD I also installed another SSD 1TB. It starts up super fast!!! the 4k is just like my tv. worth every penny! great for traveling.,5,positive,The light weight of the laptop enables the user to carry the laptop while traveling.,great for traveling.,http://linked.aub.edu.lb/actionrec/Annotation/900a06c11fee157e601f181e72a6fb5e,2021-10-15T05:28:20,great for traveling.,CarryAction,Action Exist
95,95,1017,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,CPU,"I will be returning because I found a 3060 desktop directly from ibuypower, but I will miss this laptop! The 4K display is drop dead gorgeous. I have had no problems with it and part of me wants to just keep it. When you have a MacBook, a work laptop, and a desktop coming beginning of June, you just can^t justify keeping it. Pros: the keyboard is really, really nice. The case is svelte. The screen is amazing. The 2060 can handle a ton of stuff. Cons: the CPU is a bit of a bottleneck when playing warzone (mid high settings), listening to music, chatting on discord, and streaming TV at the same time. No display port output. Rebuttals to negative reviews: I have not had any problems whatsoever with overheating.Summary: get this laptop. It^s a GREAT deal.",5,negative,"The person doesn""t like the central processing unit of this laptop to play video games on it",the CPU is a bit of a bottleneck when playing warzone (mid high settings),http://linked.aub.edu.lb/actionrec/Annotation/9389359ffeecfe610face239293dcfda,2021-10-24T17:10:32,"Cons: the CPU is a bit of a bottleneck when playing warzone (mid high settings), listening to music, chatting on discord, and streaming TV at the same time.",PlayAction,Action Exist
114,114,1018,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,WatchAction,Person,Universal,ScreenQuality,"I was looking for a decent Windows based laptop  that has nVidia RTX built in to get away from my 2019 MacBook Pro. I am a bit of an ASUS fan, having used their products for many years due to their build quality and reliability, (I owned an ASUS laptop in the Vista era and it was a great machine, I also have a self-built desktop based on an ASUS Maximus VIII Hero motherboard that is still going strong today, almost 5 years later).After much deliberation over getting the $200 cheaper Zephyrus g14 or a MSI GS66, I came across this model. Despite the g14 being a bit faster than this model, I decided on the m15 because it seems to have almost everything that I was looking for in a laptop: Thunderbolt 3 support, an Ethernet jack, RTX graphics, an open secondary M.2 slot, a 1 TB SSD preinstalled, better temps than the g14, a serviceable battery, at least one non-soldered slot for RAM, and a color calibrated 4k display.There is one really useful feature that I was unaware of before I bought the laptop: MyASUS (the built in software) includes a battery health manager to increase the longevity of your battery. If you leave it plugged in all the time in a docking station, it can be set to prevent the battery from charging beyond 60% or 80% of capacity depending on your chosen setting. It only stops the charging while the program is running in the background and can easily be disabled if you plan on taking the laptop on the road and need to charge to full capacity. The display is nice and crisp, Windows 10 v2004 still has some bugs with the default 250% display scaling in some programs. iTunes is barely useable (not surprised, it is Apple""s issue). I also haven""t figured out the best setting for games yet either. Playing games at 4k with the default Windows scaling seems to downscale some games, although I am not entirely sure. (I had to run the nVidia RTX Elevator demo using compatibility mode to disable the scaling to get it to even open.) Jedi Fallen Order runs at ultra settings and 4k resolution fairly well, it dropped a few frames but it was not unplayable. That is to be expected of the RTX 2060. This is not the max-q variant of the 2060. See the attached screenshot of GPU-Z for more info. When the laptop is set to turbo mode, it will increase the GPU""s clock speed up to 2025 Mhz as needed.I don""t notice much if any ghosting on the display, I am not a competitive online gamer so a high refresh rate isn""t as important to me. Watching movies is a fair experience, the display has amazing color and contrast but there is some flashlighting in the corners of the screen on dark scenes that can be an annoyance and some movie playing apps tend to get the fans ramped up as well, which can drown out the mediocre speakers. A good pair of headphones would make it a much better experience.The keyboard is excellent compared to the butterfly keyboard on my mac, the keys are stiff and have a good tactile feel to them. The Aura backlighting is nice to have although it could be just a bit brighter. Keyboard backlight is just right at max brightness in the dark, and unlike the silver keyboard on the g14, the keyboard is easily legible on the m15 in the light with the backlight on or off. I also like the fact that F5 is set to change the boost mode with a tap and F6 is a shortcut to launch the windows snipping tool. I am not aware of there being a Fn lock on this laptop though, so you always have to hold the Fn key first.I hope that ASUS will push out a BIOS update in the future that allows you to disable the power button LED, it is bigger and brighter than all of the other status leds below the screen and it appears to always be red. It is slightly annoying to have it in the corner of your vision constantly.Finally, I wanted a laptop with good linux support. I moved the factory NVME M.2 SSD into slot 2 and installed a 250Gb SATA M.2 drive in slot 1. Only slot 1 supports SATA M.2 drives but both will support NVME drives. I was surprised when installing Fedora 32 that everything was fully supported on the laptop as far as I cold tell. The intel integrated graphics are enabled by default and  drivers for nVidia had to be installed manually which also requires Secure Boot to be disabled in the UEFI to get them to load. It appears to be running very smooth so far. I also tested booting off a USB drive with Linux Mint 19.3 but driver support for that was lacking with no touchpad or wifi support out of the box.All-in-all this is a beautiful laptop with quality hardware and good build quality. I would easily recommend it for the power user or professional that likes to play a AAA title here and there and wants a laptop that can play them in style.",4,positive,The person likes the display screen of this laptop to watch movies on it,"Watching movies is a fair experience, the display has amazing color",http://linked.aub.edu.lb/actionrec/Annotation/d6248ab809fefaf361aabb1ddbb18e17,2021-10-24T17:31:02,"Watching movies is a fair experience, the display has amazing color and contrast but there is some flashlighting in the corners of the screen on dark scenes that can be an annoyance and some movie playing apps tend to get the fans ramped up as well, which can drown out the mediocre speakers.",WatchAction,Action Exist
132,132,1019,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,DownloadAction,Person,Travel,Speed,"My daughter wanted a gaming sytem that she can travel with. Her birthday came around and we bought her the best one Best Buy had for gaming. When her birthday came 3 days later she could not believe it. She instantly started connecting it and we added the virus protection, bought the two year warranty for any damage that may occur. My daughter told me how fast and how quick it is to download her favorite games. Needless to say she is very very happy!!!",5,positive,The person likes the speed of this laptop to download games on it.,My daughter told me how fast and how quick it is to download her favorite games.,http://linked.aub.edu.lb/actionrec/Annotation/d210076c5dd994d293158e2f84a1f6e1,2021-10-31T07:17:10,My daughter told me how fast and how quick it is to download her favorite games.,DownloadAction,Action Exist
136,136,1020,"ASUS - ROG Zephyrus M15 15.6"" 4K Ultra HD Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 1TB SSD - Prism Black",http://linked.aub.edu.lb/actionrec/Product/GU502LV_BI7N8,PlayAction,Person,Universal,ScreenQuality,"I use a PC for occasional web browsing and some gaming. Most of the games I play are older, and therefore are not very graphic intensive, but this computer plays them with ease. The screen is crystal clear, the built in speakers are surprisingly loud and clear, and the ability to customize the backlit keyboard is a nice feature. I have always been impressed with the ""Bang for the Buck"" factor with Asus PCs and this one is no different. This PC may open me back up to playing newer games on PC as opposed to consoles.",5,positive,The person likes the screen quality of this laptop to play games on it,"Most of the games I play are older, and therefore are not very graphic intensive, but this computer plays them with ease.",http://linked.aub.edu.lb/actionrec/Annotation/2b6d0bbe7ec1f0fefd1009f6bca43b05,2021-10-31T07:35:03,"Most of the games I play are older, and therefore are not very graphic intensive, but this computer plays them with ease.",PlayAction,Action Exist
